title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
Antarctic Journal,2005,"['Back to top', 'Thriller', 'Mystery', 'Horror']",5.9,N/A,"$5,568,811","$6,500,000 (estimated)",N/A,https://www.imdb.com/title/tt0462703/
Princess Aurora,2005,"['Thriller', 'Back to top', 'Drama', 'Mystery', 'Crime']",6.5,N/A,"$5,081,114",N/A,N/A,https://www.imdb.com/title/tt0488174/
Wedding Campaign,2005,"['Back to top', 'Drama', 'Comedy']",6.3,N/A,"$2,561,923",N/A,N/A,https://www.imdb.com/title/tt0492702/
Love Her,2001,"['Back to top', 'Drama']",5.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0434972/
One Fine Spring Day,2001,"['Back to top', 'Drama', 'Romance']",7.0,N/A,"$86,366","$2,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0295192/
How to Keep My Love,2004,"['Romance', 'Back to top', 'Comedy']",5.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0416070/
The Crescent Moon,2003,"['Back to top', 'Drama']",7.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0390976/
Elysium,2003,"['Comedy', 'Back to top', 'Fantasy', 'Animation', 'Sci-Fi', 'Computer Animation', 'Action']",3.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0356577/
Sex Is Zero,2002,"['Comedy', 'Raunchy Comedy', 'Drama', 'Back to top', 'Teen Comedy', 'Romance']",6.5,N/A,"$23,915,279",N/A,N/A,https://www.imdb.com/title/tt0341555/
Innocent Steps,2005,"['Music', 'Comedy', 'Back to top', 'Drama', 'Romance']",6.8,N/A,"$13,419,977",N/A,N/A,https://www.imdb.com/title/tt0464636/
Emergency Act 19,2002,"['Back to top', 'Music']",4.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0327767/
Last Present,2001,"['Back to top', 'Drama', 'Romance']",6.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0294949/
