title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
Nartai,2022,"['Back to top', 'Drama']",5.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt10431512/
Stranger,2015,"['Back to top', 'Drama']",6.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt4649646/
Mother's Paradise,2011,"['Back to top', 'Drama']",5.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2085905/
Atbai's Fight,2019,"['Back to top', 'Drama']",6.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt11155928/
The Land Where Winds Stood Still,2023,"['Back to top', 'Drama']",7.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt30061599/
Shulamah,2023,"['Back to top', 'Musical']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt21302662/
Dos-Mukasan,2022,"['Back to top', 'Biography']",7.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt13523748/
Karoy,2007,"['Back to top', 'Drama', 'Comedy']",6.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt1094256/
Prepod,2013,"['Back to top', 'Comedy']",7.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2899602/
Sisitay,2018,"['Back to top', 'Musical']",2.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt8214222/
Little Brother,2013,"['Back to top', 'Drama']",7.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2902176/
Vocal Parallels,2005,"['Back to top', 'Drama']",7.0,N/A,N/A,"$50,000 (estimated)",N/A,https://www.imdb.com/title/tt0481651/
Skoro konchitsya leto,2022,"['Back to top', 'Drama', 'Comedy']",6.0,N/A,"$19,670","RUR 50,000,000 (estimated)",N/A,https://www.imdb.com/title/tt22440728/
Steppe Express,2005,['Back to top'],6.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0773120/
Kelinka Sabina,2014,"['Back to top', 'Comedy']",6.4,N/A,N/A,"$300,000 (estimated)",N/A,https://www.imdb.com/title/tt5516214/
Skhema,2022,"['Back to top', 'Drama']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt17080140/
Poka heißt Tschüss auf Russisch,2014,"['Back to top', 'Drama']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt3560768/
Änel,2024,"['Back to top', 'Thriller', 'Drama']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt33968002/
"Crickets, It's Your Turn",2024,"['Back to top', 'Thriller', 'Drama']",6.2,N/A,N/A,"$500,000 (estimated)",N/A,https://www.imdb.com/title/tt31801045/
Sunny Days,2011,"['Back to top', 'Drama']",6.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2075313/
Bisharashki,2022,"['Back to top', 'Comedy']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt21195884/
Dolphin Jump,2009,"['Adventure', 'Thriller', 'Back to top', 'Action', 'Crime']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2156737/
Waiting for the Sea,2012,"['Fantasy', 'Back to top']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2522082/
Yellow Cat,2020,"['Back to top', 'Dark Comedy', 'Drama', 'Comedy']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt12792608/
Amanat,2016,"['Back to top', 'Drama']",7.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt4564526/
Zhauzhürek myng bala,2012,"['Adventure', 'History', 'Drama', 'Back to top', 'War', 'Action']",6.5,N/A,"$2,172","$12,000,000 (estimated)",N/A,https://www.imdb.com/title/tt1852040/
Äidin toive,2015,"['Documentary', 'Family', 'Biography', 'Back to top']",6.4,N/A,"$97,497","€750,000 (estimated)",N/A,https://www.imdb.com/title/tt2862454/
Kazakhi protiv prisheltsev,2022,"['Fantasy', 'Back to top', 'Comedy']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt22089826/
Parallelnye miry,2013,"['Back to top', 'Drama', 'Romance']",4.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt3148362/
Pisma izdaleka,2009,"['Back to top', 'Drama']",3.4,N/A,N/A,"KZT 10,000,000 (estimated)",N/A,https://www.imdb.com/title/tt2137638/
Kazakh Business in Korea,2019,"['Back to top', 'Comedy']",5.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt19759322/
